"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-18","1994-06-03",1173,"BERAZATEGUI Nº 2","Buenos Aires","Nacional","1994","","FURGON VIDRID.C/ASIE","37","RENAULT","34","RENAULT TRAFIC","1","Privado","Física","BERAZATEGUI","BUENOS AIRES","Masculino","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-31","2000-10-27",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","84","CORSA 3P CITI 1.0 N","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Femenino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-11","1994-04-28",2086,"CAPITAL FEDERAL Nº 086","Ciudad Autónoma de Bs.As.","Nacional","1994","","FUR.VIDRIADO C/ASIEN","37","RENAULT","55","RENAULT TRAFIC","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1971","PERU",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-10","1992-03-27",1119,"MORON Nº 03","Buenos Aires","Importado","1991","","RURAL 4 PTAS.","","NISSAN","","PATHFINDER SE-V6","1","Privado","Física","HAEDO","BUENOS AIRES","No identificado","1982","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-24","2000-11-01",1118,"QUILMES Nº 2","Buenos Aires","Nacional","2000","","SEDAN 4 PUERTAS","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","QUILMES OESTE","BUENOS AIRES","Masculino","1947","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-03","1995-11-10",4058,"EMBALSE","Córdoba","Nacional","1995","","CHASIS C/CABINA P/CA","29","MERCEDES BENZ","55","BM386 VERSION 1633","1","Privado","Física","VILLA RUMIPAL","CORDOBA","Masculino","1980","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-12","2000-04-05",1113,"SAN VICENTE","Buenos Aires","Nacional","2000","","3 PTAS","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","GUERNICA","BUENOS AIRES","Femenino","1978","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-18","1997-11-18",6004,"MACHAGAI","Chaco","Protocolo 21","1997","","FURGON VIDRIADO C/ ASIENTOS","112","RENAULT","122","EXPRESS","1","Privado","Física","COLONIAS UNIDAS","CHACO","Masculino","1976","ARGENTINA",100,"22","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-06","2014-06-09",2045,"CAPITAL FEDERAL Nº 045","Ciudad Autónoma de Bs.As.","Protocolo 21","2014","","TRANSPORTE DE CARGA","092","MERCEDES BENZ","272","710","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1994","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-28","1998-06-12",2078,"CAPITAL FEDERAL Nº 078","Ciudad Autónoma de Bs.As.","Nacional","1998","","BERLINA 5 PTAS.","37","RENAULT","CD","CLIO DIESEL 5P DA AA","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1978","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-13","1978-07-28",1146,"MERLO Nº 2","Buenos Aires","Importado","1978","","ACOPLADO","","SALTO","","1978","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-14","1992-09-08",8002,"COLON Nº 1","Entre Ríos","Nacional","1992","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS     /1992","1","Privado","Física","SAN JOSE","ENTRE RIOS","Femenino","1978","ARGENTINA",100,"30","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-24","2011-03-31",1171,"ESCOBAR Nº 1","Buenos Aires","Nacional","2011","","FAMILIAR","37","RENAULT","WA","KANGOO CONFORT 1.5 DCICDAADASVT1P","1","Privado","Física","MAQ. SAVIO, ESCOBAR","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-26","1994-11-22",21013,"ROSARIO Nº 01","Santa Fe","Importado","1994","","SEDAN","","FIAT","","UNO 1.7 SD/1994","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1984","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-01-26","2006-12-20",1044,"LA PLATA Nº 02","Buenos Aires","Nacional","2006","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 600","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1949","ARGENTINA",100,"06","ARG"
